name	replicate	replicate_full	rsid	hgnc	sample	type	PCR	prefix	Read_1_file	Read_2_file	bam
FOXP1	g3	FOXP1_H1_G3	rs35592432	FOXP1	H1	gDNA	NA	H1_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G3_S3_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G3_S3_L001_R2_001.fastq.gz	NA
FOXP1	g4	FOXP1_H1_G4	rs35592432	FOXP1	H1	gDNA	NA	H1_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G4_S4_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G4_S4_L001_R2_001.fastq.gz	NA
FUT8	c1	FUT8_H9_C1	rs183228067	FUT8	H9	cDNA	NA	H9_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C1_S150_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C1_S150_L001_R2_001.fastq.gz	NA
FUT8	c2	FUT8_H9_C2	rs183228067	FUT8	H9	cDNA	NA	H9_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C2_S151_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C2_S151_L001_R2_001.fastq.gz	NA
FUT8	c3	FUT8_H9_C3	rs183228067	FUT8	H9	cDNA	NA	H9_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C3_S152_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C3_S152_L001_R2_001.fastq.gz	NA
FUT8	c4	FUT8_H9_C4	rs183228067	FUT8	H9	cDNA	NA	H9_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C4_S153_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C4_S153_L001_R2_001.fastq.gz	NA
FUT8	c5	FUT8_H9_C5	rs183228067	FUT8	H9	cDNA	NA	H9_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C5_S154_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C5_S154_L001_R2_001.fastq.gz	NA
FUT8	c6	FUT8_H9_C6	rs183228067	FUT8	H9	cDNA	NA	H9_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C6_S155_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C6_S155_L001_R2_001.fastq.gz	NA
FUT8	c7	FUT8_H9_C7	rs183228067	FUT8	H9	cDNA	NA	H9_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C7_S156_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C7_S156_L001_R2_001.fastq.gz	NA
FUT8	c8	FUT8_H9_C8	rs183228067	FUT8	H9	cDNA	NA	H9_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C8_S157_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C8_S157_L001_R2_001.fastq.gz	NA
